Ancestor?,Scan date,Nr,Name,Nickname,Gender,Level,possibleLevels,CP,HP,Dust cost,Overall appraisal,ATT max?,DEF max?,HP max?,Stats appraisal,min IV%,ØIV%,max IV%,ØATT IV,ØDEF IV,ØHP IV,Unique?,Fast move,Special move,DPS,Sword,Shield,Eye,Star,Custom1,Custom2,Saved,Form,Egg,Lucky
0,10/27/18 21:52:15,92,Gastly,49⑧⑩④㉙,♂,29.0,29.0,719,46,5000,?,0,0,0,?,46.7,49.3,51.1,7.8,9.8,4.5,0, - ,- ,0.0,0,0,0,0,,,0,91,0,1
0,10/27/18 21:43:27,198,Murkrow,62⓬⓭❸㉑PeFP,♀,21.0,21.0,777,75,3000,<65%,0,1,0,13-14,62.2,62.2,62.2,12.0,13.0,3.0,1,Peck,Foul Play,16.9,0,0,0,0,,,0,197,0,1
0,10/27/18 21:43:01,92,Gastly,78⓫⓯❾㉔,♂,24.0,24.0,646,45,3500,<81%,0,1,0,15,77.8,77.8,77.8,11.0,15.0,9.0,1, - ,- ,0.0,0,0,0,0,,,0,91,0,1
0,10/27/18 21:42:56,92,Gastly,58⑪⑪④⑱,♀,18.0,18.0,456,36,2200,?,0,0,0,?,55.6,58.3,60.0,10.8,11.0,4.4,0, - ,- ,0.0,0,0,0,0,,,0,91,0,1
0,10/27/18 21:42:48,92,Gastly,63⑨⑪⑧⑯,♂,16.0,16.0,414,36,1900,?,0,0,0,?,62.2,63.1,64.4,8.7,11.2,8.5,0, - ,- ,0.0,0,0,0,0,,,0,91,0,1
0,10/27/18 21:41:13,92,Gastly,59⑨⑥⓬㉛,♂,31.0,31.0;32.0,782,53,6000,<65%,0,0,1,8-12,57.8,58.9,60.0,9.0,5.5,12.0,0, - ,- ,0.0,0,0,0,0,,,1,91,0,1
1,10/27/18 21:41:13,92,Gastly,-,-,31.0,31.0,782,53,6000,<65%,0,0,1,8-12,57.8,58.9,60.0,9.0,5.5,12.0,0,-,-,-,0,0,0,0,,,,91,0,
0,10/27/18 21:40:45,259,Marshtomp,79⑫⑩⓮⑩,♂,10.0,10.0,443,65,1000,<81%,0,0,1,13-14,77.8,78.9,80.0,11.5,10.0,14.0,0, - ,- ,0.0,0,0,0,0,,,0,258,0,1
0,10/27/18 21:40:33,25,Pikachu,65⑦⑦⑮㉕,♀,25.0,25.0,509,56,4000,?,0,0,0,?,57.8,65.2,73.3,7.3,7.3,14.7,0, - ,- ,0.0,0,0,0,0,,,0,24,0,1
0,10/27/18 21:40:20,198,Murkrow,61⑦⑦⑬⑦FAFP,♂,7.0,7.0,248,46,800,?,0,0,0,?,60.0,60.7,62.2,7.4,7.1,12.8,0,Feint Attack,Foul Play,10.2,0,0,0,0,,,0,197,0,1
0,10/27/18 21:40:09,285,Shroomish,55⑥⑦⑫⑪,♀,11.0,11.0,194,58,1300,?,0,0,0,?,44.4,55.1,68.9,5.7,7.0,12.2,0, - ,- ,0.0,0,0,0,0,,,0,284,0,1
0,10/27/18 21:39:24,228,Houndour,22①①⑧⑲,♂,19.0,19.0,497,57,2500,?,0,0,0,?,22.2,22.2,22.2,0.5,1.0,8.5,0, - ,- ,0.0,0,0,0,0,,,0,227,0,1
0,10/27/18 21:39:03,133,Eevee,59⑨⑩⑧㉛?,♂,?,31.0;32.0,767,87,6000,<65%,0,1,0,8-12,55.6,58.9,62.2,8.5,10.0,8.0,0, - ,- ,0.0,0,0,0,0,,,0,132,0,1
0,10/27/18 21:38:50,280,Ralts,46⑪⑦❸㉕,♂,25.0,25.0,256,39,4000,?,0,0,0,?,42.2,45.9,51.1,10.5,7.2,3.0,0, - ,- ,0.0,0,0,0,0,,,0,279,0,1
